City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
429,Birjand,IR,79.27,clear sky,32.8663,59.2211,Birjand Tourist Hotel
430,Trincomalee,LK,84.33,overcast clouds,8.5711,81.2335,Welcombe Hotel
435,Kirakira,SB,81.23,overcast clouds,-10.4544,161.9205,SanBiz Lodge
436,Kangaba,ML,77.32,clear sky,11.9333,-8.4167,CAF (case de l´amitié et de la fraternité)
439,Pasighat,IN,82.99,clear sky,28.0667,95.3333,Siang Guest House
441,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
447,Bambari,CF,79.57,overcast clouds,5.768,20.6757,Hotel-Restaurant BIBICH
448,Narasapur,IN,89.67,scattered clouds,16.45,81.6667,UDIPI HOTEL COMFORTINN
450,Bandarbeyla,SO,86.02,clear sky,9.4942,50.8122,JABIR HOTEL
451,Sainte-Suzanne,RE,78.98,overcast clouds,-20.9061,55.6089,Gites Ango
452,Yulara,AU,77.45,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
456,Tautira,PF,76.68,light rain,-17.7333,-149.15,Pension Oaoa
459,Guasdualito,VE,77.0,overcast clouds,7.2424,-70.7324,Hotel Cuibas
462,Tarakan,ID,80.1,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
471,Phayao,TH,84.29,clear sky,19.25,100.25,chuthagarden
475,Champerico,GT,77.56,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
477,Samarai,PG,83.44,clear sky,-10.6167,150.6667,Nuli Sapi
479,Arlit,NE,80.76,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
487,Padang,ID,84.25,broken clouds,-0.9492,100.3543,Mercure Padang
491,Luganville,VU,79.99,clear sky,-15.5333,167.1667,The Espiritu Hotel
493,Kuruman,ZA,75.99,clear sky,-27.4524,23.4325,A HOTEL KURUMAN
498,Antalaha,MG,78.21,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
501,Yumbe,UG,79.38,light rain,3.4651,31.2469,Antonio's Hotel
503,That Phanom,TH,84.22,broken clouds,16.9364,104.7104,ณ ธาตุพนมเพลส Na That Panom Place Hotel
504,Hukuntsi,BW,82.04,broken clouds,-24.0,21.75,Its me guest house
508,Yibin,CN,78.89,clear sky,28.7667,104.6238,Handsome Guesthouse
511,Basco,PH,78.31,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
521,Balabac,PH,83.28,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
526,Tabou,CI,77.59,moderate rain,4.423,-7.3528,hotêl doufoulougou
530,Hobyo,SO,82.78,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
533,Mutare,ZW,79.34,overcast clouds,-18.9707,32.6709,Ann Bruce Backpackers
534,Banjar,ID,80.28,light rain,-8.19,114.9675,The Hamsa Resort
536,Saint-Joseph,RE,75.58,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
539,Takoradi,GH,79.0,scattered clouds,4.8845,-1.7554,Raybow International Hotel
541,Alindao,CF,79.21,overcast clouds,5.0267,21.2088,OCHA Alindao
543,Gambela,ET,84.49,broken clouds,8.25,34.5833,Solomon Debebe Hotel
546,Omboue,GA,75.85,light rain,-1.5746,9.2618,Hotel Olako
